Time,last_of_us
2023-04-12,87.0
2023-04-13,87.0
2023-04-14,87.0
2023-04-15,101.5
2023-04-16,116.0
2023-04-17,87.0
2023-04-18,72.5
2023-04-19,72.5
2023-04-20,72.5
2023-04-21,58.0
2023-04-22,87.0
2023-04-23,87.0
2023-04-24,72.5
2023-04-25,58.0
2023-04-26,60.351351351351354
2023-04-27,59.306306306306304
2023-04-28,58.26126126126126
2023-04-29,84.25675675675676
2023-04-30,86.86936936936937
2023-05-01,70.73648648648648
2023-05-02,60.351351351351354
2023-05-03,57.73873873873874
2023-05-04,56.69369369369369
2023-05-05,56.69369369369369
2023-05-06,70.21396396396396
2023-05-07,71.78153153153153
2023-05-08,71.78153153153153
2023-05-09,56.69369369369369
2023-05-10,54.6036036036036
2023-05-11,55.126126126126124
2023-05-12,56.17117117117117
2023-05-13,59.306306306306304
2023-05-14,61.3963963963964
2023-05-15,56.69369369369369
2023-05-16,47.3536036036036
2023-05-17,45.263513513513516
2023-05-18,44.740990990990994
2023-05-19,45.78603603603604
2023-05-20,58.26126126126126
2023-05-21,71.78153153153153
2023-05-22,55.648648648648646
2023-05-23,45.263513513513516
2023-05-24,47.3536036036036
2023-05-25,44.740990990990994
2023-05-26,50.16216216216216
2023-05-27,59.567567567567565
2023-05-28,62.7027027027027
2023-05-29,72.10810810810811
2023-05-30,53.2972972972973
2023-05-31,47.027027027027025
2023-06-01,43.89189189189189
2023-06-02,41.8018018018018
2023-06-03,52.25225225225225
2023-06-04,56.432432432432435
2023-06-05,52.25225225225225
2023-06-06,41.8018018018018
2023-06-07,41.8018018018018
2023-06-08,40.75675675675676
2023-06-09,40.75675675675676
2023-06-10,45.98198198198198
2023-06-11,52.25225225225225
2023-06-12,44.93693693693694
2023-06-13,40.75675675675676
2023-06-14,44.93693693693694
2023-06-15,52.25225225225225
2023-06-16,44.93693693693694
2023-06-17,51.207207207207205
2023-06-18,54.34234234234234
2023-06-19,50.16216216216216
2023-06-20,45.98198198198198
2023-06-21,40.75675675675676
2023-06-22,37.62162162162162
2023-06-23,42.846846846846844
2023-06-24,47.027027027027025
2023-06-25,54.34234234234234
2023-06-26,42.846846846846844
2023-06-27,40.75675675675676
2023-06-28,42.846846846846844
2023-06-29,44.93693693693694
2023-06-30,39.711711711711715
2023-07-01,38.666666666666664
2023-07-02,45.98198198198198
2023-07-03,43.89189189189189
2023-07-04,52.25225225225225
2023-07-05,41.8018018018018
2023-07-06,39.711711711711715
2023-07-07,39.711711711711715
2023-07-08,44.93693693693694
2023-07-09,45.98198198198198
2023-07-10,41.8018018018018
2023-07-11,38.666666666666664
2023-07-12,54.34234234234234
2023-07-13,57.47747747747748
2023-07-14,50.16216216216216
2023-07-15,53.2972972972973
2023-07-16,56.432432432432435
2023-07-17,49.11711711711712
2023-07-18,42.846846846846844
2023-07-19,39.711711711711715
2023-07-20,37.62162162162162
2023-07-21,38.666666666666664
2023-07-22,41.8018018018018
2023-07-23,52.25225225225225
2023-07-24,40.75675675675676
2023-07-25,37.62162162162162
2023-07-26,34.486486486486484
2023-07-27,35.53153153153153
2023-07-28,35.53153153153153
2023-07-29,41.8018018018018
2023-07-30,40.75675675675676
2023-07-31,34.486486486486484
2023-08-01,33.44144144144144
2023-08-02,34.486486486486484
2023-08-03,33.44144144144144
2023-08-04,33.44144144144144
2023-08-05,39.711711711711715
2023-08-06,40.75675675675676
2023-08-07,34.486486486486484
2023-08-08,33.44144144144144
2023-08-09,32.3963963963964
2023-08-10,34.486486486486484
2023-08-11,34.486486486486484
2023-08-12,36.57657657657658
2023-08-13,43.89189189189189
2023-08-14,36.57657657657658
2023-08-15,33.44144144144144
2023-08-16,33.44144144144144
2023-08-17,31.35135135135135
2023-08-18,33.44144144144144
2023-08-19,38.666666666666664
2023-08-20,40.75675675675676
2023-08-21,38.666666666666664
2023-08-22,33.44144144144144
2023-08-23,31.35135135135135
2023-08-24,31.35135135135135
2023-08-25,31.35135135135135
2023-08-26,35.53153153153153
2023-08-27,51.207207207207205
2023-08-28,34.486486486486484
2023-08-29,39.711711711711715
2023-08-30,40.75675675675676
2023-08-31,34.486486486486484
2023-09-01,34.486486486486484
2023-09-02,40.75675675675676
2023-09-03,43.89189189189189
2023-09-04,43.89189189189189
2023-09-05,36.57657657657658
2023-09-06,32.3963963963964
2023-09-07,34.486486486486484
2023-09-08,34.486486486486484
2023-09-09,39.711711711711715
2023-09-10,43.89189189189189
2023-09-11,35.53153153153153
2023-09-12,33.44144144144144
2023-09-13,30.306306306306304
2023-09-14,31.35135135135135
2023-09-15,31.35135135135135
2023-09-16,36.57657657657658
2023-09-17,41.8018018018018
2023-09-18,35.53153153153153
2023-09-19,35.53153153153153
2023-09-20,30.306306306306304
2023-09-21,33.44144144144144
2023-09-22,33.44144144144144
2023-09-23,36.57657657657658
2023-09-24,41.8018018018018
2023-09-25,37.62162162162162
2023-09-26,41.8018018018018
2023-09-27,40.75675675675676
2023-09-28,35.53153153153153
2023-09-29,34.486486486486484
2023-09-30,41.8018018018018
2023-10-01,41.8018018018018
2023-10-02,34.486486486486484
2023-10-03,32.3963963963964
2023-10-04,34.486486486486484
2023-10-05,31.35135135135135
2023-10-06,34.486486486486484
2023-10-07,36.57657657657658
2023-10-08,39.711711711711715
2023-10-09,34.486486486486484
2023-10-10,32.3963963963964
2023-10-11,33.44144144144144
2023-10-12,31.35135135135135
2023-10-13,33.44144144144144
2023-10-14,34.486486486486484
2023-10-15,40.75675675675676
2023-10-16,34.486486486486484
2023-10-17,32.3963963963964
2023-10-18,32.3963963963964
2023-10-19,32.3963963963964
2023-10-20,32.3963963963964
2023-10-21,33.44144144144144
2023-10-22,41.8018018018018
2023-10-23,35.53153153153153
2023-10-24,33.44144144144144
2023-10-25,32.3963963963964
2023-10-26,33.44144144144144
2023-10-27,32.3963963963964
2023-10-28,37.62162162162162
2023-10-29,35.53153153153153
2023-10-30,33.44144144144144
2023-10-31,34.486486486486484
2023-11-01,33.44144144144144
2023-11-02,32.3963963963964
2023-11-03,28.216216216216218
2023-11-04,32.3963963963964
2023-11-05,33.44144144144144
2023-11-06,31.35135135135135
2023-11-07,28.216216216216218
2023-11-08,29.26126126126126
2023-11-09,30.306306306306304
2023-11-10,29.26126126126126
2023-11-11,29.26126126126126
2023-11-12,32.3963963963964
2023-11-13,32.3963963963964
2023-11-14,29.26126126126126
2023-11-15,32.3963963963964
2023-11-16,34.486486486486484
2023-11-17,34.486486486486484
2023-11-18,75.24324324324324
2023-11-19,55.387387387387385
2023-11-20,42.846846846846844
2023-11-21,38.666666666666664
2023-11-22,37.62162162162162
2023-11-23,44.93693693693694
2023-11-24,48.072072072072075
2023-11-25,45.98198198198198
2023-11-26,49.11711711711712
2023-11-27,38.666666666666664
2023-11-28,37.62162162162162
2023-11-29,34.486486486486484
2023-11-30,35.53153153153153
2023-12-01,33.44144144144144
2023-12-02,38.666666666666664
2023-12-03,41.8018018018018
2023-12-04,39.711711711711715
2023-12-05,47.027027027027025
2023-12-06,42.846846846846844
2023-12-07,40.75675675675676
2023-12-08,44.93693693693694
2023-12-09,45.98198198198198
2023-12-10,49.11711711711712
2023-12-11,43.89189189189189
2023-12-12,42.846846846846844
2023-12-13,37.62162162162162
2023-12-14,38.666666666666664
2023-12-15,49.11711711711712
2023-12-16,44.93693693693694
2023-12-17,44.93693693693694
2023-12-18,38.666666666666664
2023-12-19,36.57657657657658
2023-12-20,38.666666666666664
2023-12-21,39.711711711711715
2023-12-22,37.62162162162162
2023-12-23,40.75675675675676
2023-12-24,44.93693693693694
2023-12-25,49.11711711711712
2023-12-26,52.25225225225225
2023-12-27,53.2972972972973
2023-12-28,52.25225225225225
2023-12-29,53.2972972972973
2023-12-30,52.25225225225225
2023-12-31,55.387387387387385
2024-01-01,60.61261261261261
2024-01-02,53.2972972972973
2024-01-03,48.072072072072075
2024-01-04,50.16216216216216
2024-01-05,47.027027027027025
2024-01-06,57.47747747747748
2024-01-07,76.28828828828829
2024-01-08,76.28828828828829
2024-01-09,77.33333333333333
2024-01-10,97.1891891891892
2024-01-11,78.37837837837837
2024-01-12,70.01801801801801
2024-01-13,67.92792792792793
2024-01-14,70.01801801801801
2024-01-15,66.88288288288288
2024-01-16,85.69369369369369
2024-01-17,76.28828828828829
2024-01-18,72.10810810810811
2024-01-19,97.1891891891892
2024-01-20,104.5045045045045
2024-01-21,97.1891891891892
2024-01-22,74.1981981981982
2024-01-23,66.88288288288288
2024-01-24,63.747747747747745
2024-01-25,60.61261261261261
2024-01-26,58.52252252252252
2024-01-27,68.97297297297297
2024-01-28,71.06306306306305
2024-01-29,55.387387387387385
2024-01-30,50.16216216216216
2024-01-31,50.16216216216216
2024-02-01,50.16216216216216
2024-02-02,56.432432432432435
2024-02-03,81.51351351351352
2024-02-04,78.37837837837837
2024-02-05,58.52252252252252
2024-02-06,50.16216216216216
2024-02-07,48.072072072072075
2024-02-08,45.98198198198198
2024-02-09,45.98198198198198
2024-02-10,56.432432432432435
2024-02-11,57.47747747747748
2024-02-12,41.8018018018018
2024-02-13,43.89189189189189
2024-02-14,42.846846846846844
2024-02-15,42.846846846846844
2024-02-16,42.846846846846844
2024-02-17,49.11711711711712
2024-02-18,56.432432432432435
2024-02-19,54.34234234234234
2024-02-20,43.89189189189189
2024-02-21,43.89189189189189
2024-02-22,42.846846846846844
2024-02-23,38.666666666666664
2024-02-24,43.89189189189189
2024-02-25,71.06306306306305
2024-02-26,58.52252252252252
2024-02-27,48.072072072072075
2024-02-28,41.8018018018018
2024-02-29,39.711711711711715
2024-03-01,44.93693693693694
2024-03-02,50.16216216216216
2024-03-03,51.207207207207205
2024-03-04,43.89189189189189
2024-03-05,37.62162162162162
2024-03-06,35.53153153153153
2024-03-07,33.44144144144144
2024-03-08,35.53153153153153
2024-03-09,38.666666666666664
2024-03-10,40.75675675675676
2024-03-11,36.57657657657658
2024-03-12,33.44144144144144
2024-03-13,32.3963963963964
2024-03-14,33.44144144144144
2024-03-15,31.35135135135135
2024-03-16,38.666666666666664
2024-03-17,41.8018018018018
2024-03-18,38.666666666666664
2024-03-19,33.44144144144144
2024-03-20,35.53153153153153
2024-03-21,32.3963963963964
2024-03-22,30.306306306306304
2024-03-23,38.666666666666664
2024-03-24,42.846846846846844
2024-03-25,35.53153153153153
2024-03-26,35.53153153153153
2024-03-27,34.486486486486484
2024-03-28,33.44144144144144
2024-03-29,32.3963963963964
2024-03-30,36.57657657657658
2024-03-31,38.666666666666664
2024-04-01,33.44144144144144
2024-04-02,32.3963963963964
2024-04-03,33.44144144144144
2024-04-04,30.306306306306304
2024-04-05,32.3963963963964
2024-04-06,32.3963963963964
2024-04-07,39.711711711711715
2024-04-08,36.57657657657658
2024-04-09,31.35135135135135
2024-04-10,33.44144144144144
2024-04-11,33.44144144144144
2024-04-12,34.486486486486484
2024-04-13,36.57657657657658
2024-04-14,40.75675675675676
2024-04-15,36.57657657657658
2024-04-16,34.486486486486484
2024-04-17,30.306306306306304
2024-04-18,32.3963963963964
2024-04-19,33.44144144144144
2024-04-20,36.57657657657658
2024-04-21,40.75675675675676
2024-04-22,36.57657657657658
2024-04-23,33.44144144144144
2024-04-24,39.711711711711715
2024-04-25,35.53153153153153
2024-04-26,31.35135135135135
2024-04-27,33.44144144144144
2024-04-28,38.666666666666664
2024-04-29,33.44144144144144
2024-04-30,33.44144144144144
2024-05-01,32.3963963963964
2024-05-02,32.3963963963964
2024-05-03,27.17117117117117
2024-05-04,32.3963963963964
2024-05-05,37.62162162162162
2024-05-06,35.53153153153153
2024-05-07,29.26126126126126
2024-05-08,27.17117117117117
2024-05-09,27.17117117117117
2024-05-10,27.17117117117117
2024-05-11,27.17117117117117
2024-05-12,43.89189189189189
2024-05-13,35.53153153153153
2024-05-14,36.57657657657658
2024-05-15,41.8018018018018
2024-05-16,43.89189189189189
2024-05-17,35.53153153153153
2024-05-18,38.666666666666664
2024-05-19,42.846846846846844
2024-05-20,35.53153153153153
2024-05-21,33.44144144144144
2024-05-22,30.306306306306304
2024-05-23,33.44144144144144
2024-05-24,38.666666666666664
2024-05-25,40.75675675675676
2024-05-26,37.62162162162162
2024-05-27,41.8018018018018
2024-05-28,36.57657657657658
2024-05-29,33.44144144144144
2024-05-30,32.3963963963964
2024-05-31,29.26126126126126
2024-06-01,35.53153153153153
2024-06-02,41.8018018018018
2024-06-03,33.44144144144144
2024-06-04,34.486486486486484
2024-06-05,35.53153153153153
2024-06-06,34.486486486486484
2024-06-07,33.44144144144144
2024-06-08,34.486486486486484
2024-06-09,38.666666666666664
2024-06-10,37.62162162162162
2024-06-11,32.3963963963964
2024-06-12,30.306306306306304
2024-06-13,32.3963963963964
2024-06-14,29.26126126126126
2024-06-15,34.486486486486484
2024-06-16,40.75675675675676
2024-06-17,39.711711711711715
2024-06-18,35.53153153153153
2024-06-19,36.57657657657658
2024-06-20,34.486486486486484
2024-06-21,32.3963963963964
2024-06-22,37.62162162162162
2024-06-23,41.8018018018018
2024-06-24,37.62162162162162
2024-06-25,32.3963963963964
2024-06-26,31.35135135135135
2024-06-27,31.35135135135135
2024-06-28,29.26126126126126
2024-06-29,36.57657657657658
2024-06-30,35.53153153153153
2024-07-01,33.44144144144144
2024-07-02,31.35135135135135
2024-07-03,29.26126126126126
2024-07-04,36.57657657657658
2024-07-05,30.306306306306304
2024-07-06,31.35135135135135
2024-07-07,35.53153153153153
2024-07-08,31.35135135135135
2024-07-09,33.44144144144144
2024-07-10,34.486486486486484
2024-07-11,31.35135135135135
2024-07-12,29.26126126126126
2024-07-13,33.44144144144144
2024-07-14,35.53153153153153
2024-07-15,32.3963963963964
2024-07-16,31.35135135135135
2024-07-17,28.216216216216218
2024-07-18,27.17117117117117
2024-07-19,28.216216216216218
2024-07-20,29.26126126126126
2024-07-21,37.62162162162162
2024-07-22,31.35135135135135
2024-07-23,30.306306306306304
2024-07-24,30.306306306306304
2024-07-25,28.216216216216218
2024-07-26,28.216216216216218
2024-07-27,30.306306306306304
2024-07-28,36.57657657657658
2024-07-29,30.306306306306304
2024-07-30,27.17117117117117
2024-07-31,27.17117117117117
2024-08-01,26.126126126126124
2024-08-02,27.17117117117117
2024-08-03,28.216216216216218
2024-08-04,36.57657657657658
2024-08-05,63.747747747747745
2024-08-06,40.75675675675676
2024-08-07,39.711711711711715
2024-08-08,37.62162162162162
2024-08-09,37.62162162162162
2024-08-10,43.89189189189189
2024-08-11,44.93693693693694
2024-08-12,37.62162162162162
2024-08-13,34.486486486486484
2024-08-14,34.486486486486484
2024-08-15,32.3963963963964
2024-08-16,36.57657657657658
2024-08-17,43.89189189189189
2024-08-18,42.32432432432432
2024-08-19,33.44144144144144
2024-08-20,32.3963963963964
2024-08-21,31.873873873873876
2024-08-22,31.35135135135135
2024-08-23,30.828828828828826
2024-08-24,32.91891891891892
2024-08-25,41.27927927927928
2024-08-26,31.873873873873876
2024-08-27,31.35135135135135
2024-08-28,30.828828828828826
2024-08-29,30.828828828828826
2024-08-30,30.306306306306304
2024-08-31,30.828828828828826
2024-09-01,34.486486486486484
2024-09-02,33.96396396396396
2024-09-03,29.783783783783782
2024-09-04,30.306306306306304
2024-09-05,23.513513513513512
2024-09-06,29.783783783783782
2024-09-07,32.91891891891892
2024-09-08,32.3963963963964
2024-09-09,31.35135135135135
2024-09-10,30.306306306306304
2024-09-11,29.783783783783782
2024-09-12,29.783783783783782
2024-09-13,33.44144144144144
2024-09-14,35.009009009009006
2024-09-15,44.41441441441441
2024-09-16,33.96396396396396
2024-09-17,41.8018018018018
2024-09-18,31.35135135135135
2024-09-19,31.35135135135135
2024-09-20,31.35135135135135
2024-09-21,31.35135135135135
2024-09-22,41.8018018018018
2024-09-23,41.8018018018018
2024-09-24,31.35135135135135
2024-09-25,31.35135135135135
2024-09-26,83.6036036036036
2024-09-27,73.15315315315316
2024-09-28,62.7027027027027
2024-09-29,62.7027027027027
2024-09-30,52.25225225225225
2024-10-01,41.8018018018018
2024-10-02,41.8018018018018
2024-10-03,41.8018018018018
2024-10-04,41.8018018018018
2024-10-05,41.8018018018018
2024-10-06,41.8018018018018
2024-10-07,31.35135135135135
2024-10-08,31.35135135135135
2024-10-09,31.35135135135135
2024-10-10,31.35135135135135
2024-10-11,31.35135135135135
2024-10-12,31.35135135135135
2024-10-13,41.8018018018018
2024-10-14,31.35135135135135
2024-10-15,31.35135135135135
2024-10-16,31.35135135135135
2024-10-17,31.35135135135135
2024-10-18,31.35135135135135
2024-10-19,31.35135135135135
2024-10-20,41.8018018018018
2024-10-21,31.35135135135135
2024-10-22,31.35135135135135
2024-10-23,31.35135135135135
2024-10-24,31.35135135135135
2024-10-25,31.35135135135135
2024-10-26,31.35135135135135
2024-10-27,31.35135135135135
2024-10-28,31.35135135135135
2024-10-29,31.35135135135135
2024-10-30,31.35135135135135
2024-10-31,31.35135135135135
2024-11-01,31.35135135135135
2024-11-02,31.35135135135135
2024-11-03,41.8018018018018
2024-11-04,31.35135135135135
2024-11-05,31.35135135135135
2024-11-06,20.9009009009009
2024-11-07,31.35135135135135
2024-11-08,31.35135135135135
2024-11-09,31.35135135135135
2024-11-10,41.8018018018018
2024-11-11,41.8018018018018
2024-11-12,31.35135135135135
2024-11-13,31.35135135135135
2024-11-14,31.35135135135135
2024-11-15,31.35135135135135
2024-11-16,31.35135135135135
2024-11-17,31.35135135135135
2024-11-18,31.35135135135135
2024-11-19,31.35135135135135
2024-11-20,31.35135135135135
2024-11-21,31.35135135135135
2024-11-22,31.35135135135135
2024-11-23,41.8018018018018
2024-11-24,41.8018018018018
