Time,the_pitt
2022-06-22,19.0
2022-06-23,23.0
2022-06-24,29.0
2022-06-25,21.0
2022-06-26,23.0
2022-06-27,16.0
2022-06-28,18.0
2022-06-29,16.0
2022-06-30,15.0
2022-07-01,16.0
2022-07-02,17.0
2022-07-03,18.0
2022-07-04,18.0
2022-07-05,18.0
2022-07-06,17.0
2022-07-07,18.0
2022-07-08,19.0
2022-07-09,22.0
2022-07-10,25.0
2022-07-11,20.0
2022-07-12,16.0
2022-07-13,18.0
2022-07-14,17.0
2022-07-15,15.0
2022-07-16,18.0
2022-07-17,22.0
2022-07-18,20.0
2022-07-19,17.0
2022-07-20,18.0
2022-07-21,21.0
2022-07-22,20.0
2022-07-23,23.0
2022-07-24,27.0
2022-07-25,19.0
2022-07-26,18.0
2022-07-27,21.0
2022-07-28,19.0
2022-07-29,20.0
2022-07-30,20.0
2022-07-31,23.0
2022-08-01,18.0
2022-08-02,22.0
2022-08-03,24.0
2022-08-04,26.0
2022-08-05,25.0
2022-08-06,31.0
2022-08-07,33.0
2022-08-08,23.0
2022-08-09,24.0
2022-08-10,22.0
2022-08-11,22.0
2022-08-12,20.0
2022-08-13,27.0
2022-08-14,31.0
2022-08-15,22.0
2022-08-16,20.0
2022-08-17,22.0
2022-08-18,23.0
2022-08-19,22.0
2022-08-20,26.0
2022-08-21,26.0
2022-08-22,22.0
2022-08-23,22.0
2022-08-24,21.0
2022-08-25,23.0
2022-08-26,20.0
2022-08-27,26.0
2022-08-28,27.0
2022-08-29,23.0
2022-08-30,22.0
2022-08-31,26.0
2022-09-01,66.0
2022-09-02,100.0
2022-09-03,29.0
2022-09-04,26.0
2022-09-05,24.0
2022-09-06,23.0
2022-09-07,22.0
2022-09-08,21.0
2022-09-09,22.0
2022-09-10,64.0
2022-09-11,40.0
2022-09-12,19.0
2022-09-13,31.0
2022-09-14,31.0
2022-09-15,30.0
2022-09-16,24.0
2022-09-17,42.0
2022-09-18,42.0
2022-09-19,24.0
2022-09-20,21.0
2022-09-21,22.0
2022-09-22,24.0
2022-09-23,22.0
2022-09-24,40.0
2022-09-25,28.0
2022-09-26,20.0
2022-09-27,21.0
2022-09-28,22.0
2022-09-29,20.0
2022-09-30,21.0
2022-10-01,35.0
2022-10-02,43.0
2022-10-03,28.0
2022-10-04,25.0
2022-10-05,32.0
2022-10-06,27.0
2022-10-07,23.0
2022-10-08,45.0
2022-10-09,33.0
2022-10-10,22.0
2022-10-11,20.0
2022-10-12,19.0
2022-10-13,18.0
2022-10-14,16.0
2022-10-15,25.0
2022-10-16,23.0
2022-10-17,23.0
2022-10-18,19.0
2022-10-19,20.0
2022-10-20,17.0
2022-10-21,22.0
2022-10-22,24.0
2022-10-23,38.0
2022-10-24,24.0
2022-10-25,20.0
2022-10-26,18.0
2022-10-27,20.0
2022-10-28,18.0
2022-10-29,27.0
2022-10-30,35.0
2022-10-31,22.0
2022-11-01,15.0
2022-11-02,18.0
2022-11-03,18.0
2022-11-04,18.0
2022-11-05,34.0
2022-11-06,27.0
2022-11-07,18.0
2022-11-08,20.0
2022-11-09,17.0
2022-11-10,18.0
2022-11-11,21.0
2022-11-12,29.0
2022-11-13,22.0
2022-11-14,20.0
2022-11-15,15.0
2022-11-16,17.0
2022-11-17,18.0
2022-11-18,17.0
2022-11-19,27.0
2022-11-20,23.0
2022-11-21,19.0
2022-11-22,14.0
2022-11-23,15.0
2022-11-24,17.0
2022-11-25,17.0
2022-11-26,22.0
2022-11-27,31.0
2022-11-28,16.0
2022-11-29,17.0
2022-11-30,17.0
2022-12-01,16.0
2022-12-02,16.0
2022-12-03,20.0
2022-12-04,22.0
2022-12-05,20.0
2022-12-06,16.0
2022-12-07,18.0
2022-12-08,19.0
2022-12-09,17.0
2022-12-10,22.0
2022-12-11,28.0
2022-12-12,19.0
2022-12-13,16.0
2022-12-14,14.0
2022-12-15,18.0
2022-12-16,27.0
2022-12-17,20.0
2022-12-18,18.0
2022-12-19,15.0
2022-12-20,17.0
2022-12-21,19.0
2022-12-22,15.0
2022-12-23,19.0
2022-12-24,32.0
2022-12-25,22.0
2022-12-26,17.0
2022-12-27,16.0
2022-12-28,18.0
2022-12-29,19.0
2022-12-30,42.0
2022-12-31,27.0
2023-01-01,22.0
2023-01-02,20.0
2023-01-03,21.0
2023-01-04,21.0
2023-01-05,16.0
2023-01-06,15.0
2023-01-07,19.0
2023-01-08,19.0
2023-01-09,18.0
2023-01-10,19.0
2023-01-11,44.0
2023-01-12,25.0
2023-01-13,19.0
2023-01-14,25.0
2023-01-15,24.0
2023-01-16,17.0
2023-01-17,17.0
2023-01-18,18.0
2023-01-19,17.0
2023-01-20,16.0
2023-01-21,23.0
2023-01-22,18.0
2023-01-23,17.0
2023-01-24,14.0
2023-01-25,18.0
2023-01-26,15.0
2023-01-27,15.0
2023-01-28,21.0
2023-01-29,20.0
2023-01-30,17.0
2023-01-31,17.0
2023-02-01,19.0
2023-02-02,21.0
2023-02-03,15.0
2023-02-04,21.0
2023-02-05,19.0
2023-02-06,17.0
2023-02-07,16.0
2023-02-08,17.0
2023-02-09,15.0
2023-02-10,16.0
2023-02-11,20.0
2023-02-12,22.0
2023-02-13,18.0
2023-02-14,14.0
2023-02-15,15.0
2023-02-16,17.0
2023-02-17,18.0
2023-02-18,18.0
2023-02-19,22.0
2023-02-20,15.0
2023-02-21,15.0
2023-02-22,19.0
2023-02-23,16.0
2023-02-24,16.0
2023-02-25,24.0
2023-02-26,27.0
2023-02-27,18.0
2023-02-28,16.0
2023-03-01,17.0
2023-03-02,20.0
2023-03-03,15.0
2023-03-04,17.0
2023-03-05,21.0
2023-03-06,16.0
2023-03-07,15.0
2023-03-08,17.0
2023-03-09,22.0
2023-03-10,16.0
2023-03-11,19.0
2023-03-12,27.0
2023-03-13,29.0
2023-03-14,21.0
2023-03-15,38.0
2023-03-16,21.0
2023-03-17,38.0
2023-03-18,30.0
2023-03-19,44.0
2023-03-20,19.0
2023-03-21,14.0
2023-03-22,14.0
2023-03-23,14.0
2023-03-24,15.0
2023-03-25,19.0
2023-03-26,18.0
2023-03-27,17.0
2023-03-28,13.0
2023-03-29,14.0
2023-03-30,14.0
2023-03-31,16.0
2023-04-01,14.0
2023-04-02,17.0
2023-04-03,16.0
2023-04-04,14.0
2023-04-05,13.0
2023-04-06,18.0
2023-04-07,16.0
2023-04-08,15.0
2023-04-09,14.0
2023-04-10,16.0
2023-04-11,17.0
2023-04-12,14.0
2023-04-13,15.0
2023-04-14,15.0
2023-04-15,17.0
2023-04-16,17.0
2023-04-17,17.0
2023-04-18,13.0
2023-04-19,15.0
2023-04-20,13.0
2023-04-21,14.0
2023-04-22,16.0
2023-04-23,17.0
2023-04-24,16.0
2023-04-25,14.0
2023-04-26,14.872340425531915
2023-04-27,11.029255319148938
2023-04-28,13.962765957446809
2023-04-29,15.077127659574469
2023-04-30,16.69148936170213
2023-05-01,13.757978723404255
2023-05-02,13.053191489361701
2023-05-03,12.84840425531915
2023-05-04,14.872340425531915
2023-05-05,15.077127659574469
2023-05-06,14.872340425531915
2023-05-07,12.643617021276595
2023-05-08,15.077127659574469
2023-05-09,11.029255319148938
2023-05-10,14.167553191489361
2023-05-11,11.23404255319149
2023-05-12,15.077127659574469
2023-05-13,13.962765957446809
2023-05-14,16.19148936170213
2023-05-15,13.053191489361701
2023-05-16,13.757978723404255
2023-05-17,13.962765957446809
2023-05-18,11.029255319148938
2023-05-19,12.84840425531915
2023-05-20,12.84840425531915
2023-05-21,12.143617021276595
2023-05-22,13.053191489361701
2023-05-23,12.84840425531915
2023-05-24,12.143617021276595
2023-05-25,11.938829787234042
2023-05-26,13.925531914893618
2023-05-27,15.154255319148936
2023-05-28,15.563829787234043
2023-05-29,15.97340425531915
2023-05-30,11.877659574468085
2023-05-31,13.51595744680851
2023-06-01,13.925531914893618
2023-06-02,13.51595744680851
2023-06-03,15.97340425531915
2023-06-04,15.97340425531915
2023-06-05,12.287234042553191
2023-06-06,12.696808510638299
2023-06-07,11.46808510638298
2023-06-08,11.46808510638298
2023-06-09,12.696808510638299
2023-06-10,15.563829787234043
2023-06-11,13.51595744680851
2023-06-12,15.97340425531915
2023-06-13,11.058510638297873
2023-06-14,12.287234042553191
2023-06-15,11.46808510638298
2023-06-16,15.154255319148936
2023-06-17,17.611702127659576
2023-06-18,17.20212765957447
2023-06-19,11.058510638297873
2023-06-20,12.696808510638299
2023-06-21,11.46808510638298
2023-06-22,12.287234042553191
2023-06-23,11.877659574468085
2023-06-24,15.154255319148936
2023-06-25,18.02127659574468
2023-06-26,12.696808510638299
2023-06-27,17.20212765957447
2023-06-28,12.287234042553191
2023-06-29,12.696808510638299
2023-06-30,13.925531914893618
2023-07-01,14.74468085106383
2023-07-02,16.382978723404257
2023-07-03,13.51595744680851
2023-07-04,18.430851063829788
2023-07-05,15.563829787234043
2023-07-06,15.154255319148936
2023-07-07,15.563829787234043
2023-07-08,16.382978723404257
2023-07-09,19.25
2023-07-10,14.74468085106383
2023-07-11,18.430851063829788
2023-07-12,14.74468085106383
2023-07-13,11.46808510638298
2023-07-14,14.74468085106383
2023-07-15,14.335106382978724
2023-07-16,20.069148936170212
2023-07-17,15.563829787234043
2023-07-18,14.335106382978724
2023-07-19,15.97340425531915
2023-07-20,12.696808510638299
2023-07-21,12.287234042553191
2023-07-22,14.74468085106383
2023-07-23,18.840425531914892
2023-07-24,13.925531914893618
2023-07-25,11.877659574468085
2023-07-26,13.106382978723405
2023-07-27,12.287234042553191
2023-07-28,13.925531914893618
2023-07-29,16.79255319148936
2023-07-30,16.382978723404257
2023-07-31,17.20212765957447
2023-08-01,11.46808510638298
2023-08-02,12.287234042553191
2023-08-03,13.925531914893618
2023-08-04,12.696808510638299
2023-08-05,15.154255319148936
2023-08-06,17.20212765957447
2023-08-07,12.696808510638299
2023-08-08,15.97340425531915
2023-08-09,14.335106382978724
2023-08-10,12.696808510638299
2023-08-11,16.382978723404257
2023-08-12,15.97340425531915
2023-08-13,18.840425531914892
2023-08-14,12.287234042553191
2023-08-15,11.46808510638298
2023-08-16,20.069148936170212
2023-08-17,17.20212765957447
2023-08-18,19.659574468085108
2023-08-19,18.02127659574468
2023-08-20,15.154255319148936
2023-08-21,17.611702127659576
2023-08-22,14.74468085106383
2023-08-23,13.106382978723405
2023-08-24,12.696808510638299
2023-08-25,13.925531914893618
2023-08-26,15.97340425531915
2023-08-27,17.20212765957447
2023-08-28,17.20212765957447
2023-08-29,16.79255319148936
2023-08-30,15.154255319148936
2023-08-31,15.97340425531915
2023-09-01,15.563829787234043
2023-09-02,33.99468085106383
2023-09-03,22.117021276595747
2023-09-04,20.069148936170212
2023-09-05,18.430851063829788
2023-09-06,13.925531914893618
2023-09-07,15.97340425531915
2023-09-08,18.02127659574468
2023-09-09,39.72872340425532
2023-09-10,31.53723404255319
2023-09-11,19.659574468085108
2023-09-12,15.97340425531915
2023-09-13,14.74468085106383
2023-09-14,17.20212765957447
2023-09-15,15.97340425531915
2023-09-16,40.95744680851064
2023-09-17,40.95744680851064
2023-09-18,20.47872340425532
2023-09-19,18.02127659574468
2023-09-20,16.79255319148936
2023-09-21,17.611702127659576
2023-09-22,14.74468085106383
2023-09-23,26.21276595744681
2023-09-24,30.30851063829787
2023-09-25,22.117021276595747
2023-09-26,16.382978723404257
2023-09-27,16.79255319148936
2023-09-28,17.20212765957447
2023-09-29,15.97340425531915
2023-09-30,19.25
2023-10-01,27.03191489361702
2023-10-02,18.02127659574468
2023-10-03,16.79255319148936
2023-10-04,15.563829787234043
2023-10-05,16.382978723404257
2023-10-06,20.47872340425532
2023-10-07,19.25
2023-10-08,16.79255319148936
2023-10-09,15.563829787234043
2023-10-10,15.97340425531915
2023-10-11,17.611702127659576
2023-10-12,18.430851063829788
2023-10-13,20.069148936170212
2023-10-14,27.851063829787236
2023-10-15,28.26063829787234
2023-10-16,16.79255319148936
2023-10-17,16.79255319148936
2023-10-18,15.97340425531915
2023-10-19,15.97340425531915
2023-10-20,15.97340425531915
2023-10-21,24.574468085106382
2023-10-22,18.430851063829788
2023-10-23,17.20212765957447
2023-10-24,16.382978723404257
2023-10-25,11.877659574468085
2023-10-26,15.97340425531915
2023-10-27,15.563829787234043
2023-10-28,24.164893617021278
2023-10-29,21.29787234042553
2023-10-30,18.02127659574468
2023-10-31,18.02127659574468
2023-11-01,17.611702127659576
2023-11-02,16.382978723404257
2023-11-03,16.382978723404257
2023-11-04,28.26063829787234
2023-11-05,17.611702127659576
2023-11-06,18.02127659574468
2023-11-07,17.20212765957447
2023-11-08,14.335106382978724
2023-11-09,15.154255319148936
2023-11-10,18.840425531914892
2023-11-11,25.8031914893617
2023-11-12,20.069148936170212
2023-11-13,18.430851063829788
2023-11-14,15.97340425531915
2023-11-15,18.02127659574468
2023-11-16,19.25
2023-11-17,20.888297872340427
2023-11-18,22.52659574468085
2023-11-19,16.382978723404257
2023-11-20,18.430851063829788
2023-11-21,14.335106382978724
2023-11-22,14.335106382978724
2023-11-23,21.70744680851064
2023-11-24,20.069148936170212
2023-11-25,20.069148936170212
2023-11-26,17.611702127659576
2023-11-27,14.335106382978724
2023-11-28,14.335106382978724
2023-11-29,16.382978723404257
2023-11-30,14.335106382978724
2023-12-01,15.97340425531915
2023-12-02,18.840425531914892
2023-12-03,19.25
2023-12-04,15.97340425531915
2023-12-05,14.74468085106383
2023-12-06,16.79255319148936
2023-12-07,13.925531914893618
2023-12-08,15.97340425531915
2023-12-09,16.79255319148936
2023-12-10,20.888297872340427
2023-12-11,18.02127659574468
2023-12-12,15.563829787234043
2023-12-13,15.97340425531915
2023-12-14,15.563829787234043
2023-12-15,18.430851063829788
2023-12-16,13.106382978723405
2023-12-17,17.611702127659576
2023-12-18,15.563829787234043
2023-12-19,19.659574468085108
2023-12-20,13.925531914893618
2023-12-21,14.74468085106383
2023-12-22,16.549141390467263
2023-12-23,16.214835309316655
2023-12-24,13.983193661609521
2023-12-25,13.444100346416363
2023-12-26,13.983193661609521
2023-12-27,14.727074210845233
2023-12-28,12.161126481987491
2023-12-29,14.727074210845233
2023-12-30,18.036902488938686
2023-12-31,18.7807830381744
2024-01-01,17.293021939702975
2024-01-02,13.983193661609521
2024-01-03,20.063756902603266
2024-01-04,10.878152617558623
2024-01-05,14.522286976802679
2024-01-06,18.24168972298124
2024-01-07,16.549141390467263
2024-01-08,15.470954760080945
2024-01-09,14.931861444887787
2024-01-10,16.010048075274103
2024-01-11,12.700219797180651
2024-01-12,14.931861444887787
2024-01-13,16.010048075274103
2024-01-14,16.010048075274103
2024-01-15,16.214835309316655
2024-01-16,16.549141390467263
2024-01-17,16.010048075274103
2024-01-18,13.983193661609521
2024-01-19,15.470954760080945
2024-01-20,17.497809173745527
2024-01-21,19.38975270673511
2024-01-22,17.383916219831477
2024-01-23,16.71530405753027
2024-01-24,28.081710816650848
2024-01-25,18.7211405444339
2024-01-26,16.046691895229056
2024-01-27,18.05252838213269
2024-01-28,25.407262167446007
2024-01-29,16.046691895229056
2024-01-30,17.383916219831477
2024-01-31,14.040855408325424
2024-02-01,15.378079732927846
2024-02-02,20.05836486903632
2024-02-03,24.070037842843583
2024-02-04,24.070037842843583
2024-02-05,18.7211405444339
2024-02-06,16.71530405753027
2024-02-07,18.05252838213269
2024-02-08,14.709467570626636
2024-02-09,15.378079732927846
2024-02-10,19.38975270673511
2024-02-11,18.05252838213269
2024-02-12,16.71530405753027
2024-02-13,16.71530405753027
2024-02-14,16.71530405753027
2024-02-15,18.05252838213269
2024-02-16,16.046691895229056
2024-02-17,15.378079732927846
2024-02-18,22.732813518241162
2024-02-19,18.7211405444339
2024-02-20,16.046691895229056
2024-02-21,18.05252838213269
2024-02-22,16.046691895229056
2024-02-23,14.709467570626636
2024-02-24,18.05252838213269
2024-02-25,18.7211405444339
2024-02-26,17.383916219831477
2024-02-27,15.378079732927846
2024-02-28,14.709467570626636
2024-02-29,18.7211405444339
2024-03-01,13.372243246024214
2024-03-02,20.72697703133753
2024-03-03,19.38975270673511
2024-03-04,16.71530405753027
2024-03-05,16.71530405753027
2024-03-06,16.71530405753027
2024-03-07,14.040855408325424
2024-03-08,14.040855408325424
2024-03-09,14.709467570626636
2024-03-10,18.7211405444339
2024-03-11,17.383916219831477
2024-03-12,14.709467570626636
2024-03-13,14.709467570626636
2024-03-14,18.05252838213269
2024-03-15,22.732813518241162
2024-03-16,25.407262167446007
2024-03-17,32.76199595275932
2024-03-18,24.070037842843583
2024-03-19,14.709467570626636
2024-03-20,16.046691895229056
2024-03-21,13.372243246024214
2024-03-22,13.372243246024214
2024-03-23,18.05252838213269
2024-03-24,15.378079732927846
2024-03-25,13.372243246024214
2024-03-26,15.378079732927846
2024-03-27,16.046691895229056
2024-03-28,16.71530405753027
2024-03-29,15.378079732927846
2024-03-30,18.7211405444339
2024-03-31,18.7211405444339
2024-04-01,14.709467570626636
2024-04-02,14.709467570626636
2024-04-03,15.378079732927846
2024-04-04,12.703631083723003
2024-04-05,18.7211405444339
2024-04-06,20.72697703133753
2024-04-07,16.71530405753027
2024-04-08,16.71530405753027
2024-04-09,13.372243246024214
2024-04-10,11.366406759120581
2024-04-11,12.035018921421791
2024-04-12,17.383916219831477
2024-04-13,18.05252838213269
2024-04-14,18.05252838213269
2024-04-15,16.046691895229056
2024-04-16,14.040855408325424
2024-04-17,15.378079732927846
2024-04-18,16.71530405753027
2024-04-19,16.046691895229056
2024-04-20,17.383916219831477
2024-04-21,20.72697703133753
2024-04-22,16.71530405753027
2024-04-23,16.046691895229056
2024-04-24,17.383916219831477
2024-04-25,16.71530405753027
2024-04-26,19.38975270673511
2024-04-27,18.7211405444339
2024-04-28,21.39558919363874
2024-04-29,16.046691895229056
2024-04-30,15.378079732927846
2024-05-01,18.7211405444339
2024-05-02,16.046691895229056
2024-05-03,18.05252838213269
2024-05-04,16.71530405753027
2024-05-05,18.7211405444339
2024-05-06,18.05252838213269
2024-05-07,14.040855408325424
2024-05-08,16.046691895229056
2024-05-09,12.035018921421791
2024-05-10,15.378079732927846
2024-05-11,14.709467570626636
2024-05-12,20.05836486903632
2024-05-13,16.71530405753027
2024-05-14,13.372243246024214
2024-05-15,16.046691895229056
2024-05-16,16.71530405753027
2024-05-17,14.709467570626636
2024-05-18,16.046691895229056
2024-05-19,18.7211405444339
2024-05-20,14.040855408325424
2024-05-21,14.040855408325424
2024-05-22,12.703631083723003
2024-05-23,14.709467570626636
2024-05-24,14.709467570626636
2024-05-25,16.046691895229056
2024-05-26,18.05252838213269
2024-05-27,21.39558919363874
2024-05-28,17.383916219831477
2024-05-29,25.407262167446007
2024-05-30,19.38975270673511
2024-05-31,24.070037842843583
2024-06-01,24.070037842843583
2024-06-02,28.75032297895206
2024-06-03,18.05252838213269
2024-06-04,17.383916219831477
2024-06-05,17.383916219831477
2024-06-06,15.378079732927846
2024-06-07,13.372243246024214
2024-06-08,16.71530405753027
2024-06-09,15.378079732927846
2024-06-10,12.035018921421791
2024-06-11,10.69779459681937
2024-06-12,13.372243246024214
2024-06-13,10.69779459681937
2024-06-14,14.040855408325424
2024-06-15,16.046691895229056
2024-06-16,14.709467570626636
2024-06-17,20.05836486903632
2024-06-18,15.378079732927846
2024-06-19,12.703631083723003
2024-06-20,10.69779459681937
2024-06-21,16.046691895229056
2024-06-22,13.372243246024214
2024-06-23,14.709467570626636
2024-06-24,13.372243246024214
2024-06-25,11.366406759120581
2024-06-26,12.035018921421791
2024-06-27,12.703631083723003
2024-06-28,12.035018921421791
2024-06-29,13.372243246024214
2024-06-30,14.709467570626636
2024-07-01,11.366406759120581
2024-07-02,10.02918243451816
2024-07-03,10.69779459681937
2024-07-04,16.71530405753027
2024-07-05,10.02918243451816
2024-07-06,16.046691895229056
2024-07-07,21.39558919363874
2024-07-08,18.05252838213269
2024-07-09,19.38975270673511
2024-07-10,14.709467570626636
2024-07-11,14.040855408325424
2024-07-12,15.378079732927846
2024-07-13,16.046691895229056
2024-07-14,18.05252838213269
2024-07-15,12.035018921421791
2024-07-16,13.372243246024214
2024-07-17,13.372243246024214
2024-07-18,12.703631083723003
2024-07-19,14.709467570626636
2024-07-20,20.05836486903632
2024-07-21,14.709467570626636
2024-07-22,10.69779459681937
2024-07-23,13.372243246024214
2024-07-24,14.709467570626636
2024-07-25,12.035018921421791
2024-07-26,12.035018921421791
2024-07-27,14.040855408325424
2024-07-28,14.040855408325424
2024-07-29,14.709467570626636
2024-07-30,14.040855408325424
2024-07-31,14.709467570626636
2024-08-01,12.035018921421791
2024-08-02,13.372243246024214
2024-08-03,12.703631083723003
2024-08-04,16.046691895229056
2024-08-05,16.71530405753027
2024-08-06,17.383916219831477
2024-08-07,21.39558919363874
2024-08-08,17.383916219831477
2024-08-09,15.378079732927846
2024-08-10,18.7211405444339
2024-08-11,16.046691895229056
2024-08-12,13.372243246024214
2024-08-13,18.05252838213269
2024-08-14,12.035018921421791
2024-08-15,13.372243246024214
2024-08-16,15.378079732927846
2024-08-17,14.709467570626636
2024-08-18,19.30006083130446
2024-08-19,19.634366912455064
2024-08-20,13.869625464321455
2024-08-21,14.203931545472063
2024-08-22,14.538237626622667
2024-08-23,13.869625464321455
2024-08-24,18.965754750153856
2024-08-25,18.965754750153856
2024-08-26,19.634366912455064
2024-08-27,18.965754750153856
2024-08-28,28.407863090944126
2024-08-29,25.733414441739278
2024-08-30,20.302979074756276
2024-08-31,34.84121670137894
2024-09-01,28.073557009793518
2024-09-02,32.50107413332471
2024-09-03,25.733414441739278
2024-09-04,20.97159123705749
2024-09-05,15.20684978892388
2024-09-06,15.20684978892388
2024-09-07,27.73925092864291
2024-09-08,21.640203399358697
2024-09-09,25.733414441739278
2024-09-10,20.97159123705749
2024-09-11,19.634366912455064
2024-09-12,20.97159123705749
2024-09-13,21.974509480509305
2024-09-14,67.67659691585425
2024-09-15,32.83538021447531
2024-09-16,19.968672993605672
2024-09-17,20.54759328047623
2024-09-18,27.396791040634977
2024-09-19,20.54759328047623
2024-09-20,20.54759328047623
2024-09-21,47.94438432111121
2024-09-22,27.396791040634977
2024-09-23,20.54759328047623
2024-09-24,20.54759328047623
2024-09-25,20.54759328047623
2024-09-26,13.698395520317488
2024-09-27,20.54759328047623
2024-09-28,27.396791040634977
2024-09-29,27.396791040634977
2024-09-30,20.54759328047623
2024-10-01,20.54759328047623
2024-10-02,20.54759328047623
2024-10-03,20.54759328047623
2024-10-04,20.54759328047623
2024-10-05,34.24598880079372
2024-10-06,20.54759328047623
2024-10-07,20.54759328047623
2024-10-08,20.54759328047623
2024-10-09,20.54759328047623
2024-10-10,20.54759328047623
2024-10-11,13.698395520317488
2024-10-12,41.09518656095246
2024-10-13,27.396791040634977
2024-10-14,20.54759328047623
2024-10-15,20.54759328047623
2024-10-16,13.698395520317488
2024-10-17,20.54759328047623
2024-10-18,13.698395520317488
2024-10-19,20.54759328047623
2024-10-20,20.54759328047623
2024-10-21,20.54759328047623
2024-10-22,20.54759328047623
2024-10-23,20.54759328047623
2024-10-24,27.396791040634977
2024-10-25,41.09518656095246
2024-10-26,20.54759328047623
2024-10-27,27.396791040634977
2024-10-28,20.54759328047623
2024-10-29,20.54759328047623
2024-10-30,20.54759328047623
2024-10-31,20.54759328047623
2024-11-01,20.54759328047623
2024-11-02,34.24598880079372
2024-11-03,34.24598880079372
2024-11-04,20.54759328047623
2024-11-05,20.54759328047623
2024-11-06,13.698395520317488
2024-11-07,13.698395520317488
2024-11-08,20.54759328047623
2024-11-09,20.54759328047623
2024-11-10,41.09518656095246
2024-11-11,20.54759328047623
2024-11-12,20.54759328047623
2024-11-13,20.54759328047623
2024-11-14,20.54759328047623
2024-11-15,20.54759328047623
2024-11-16,41.09518656095246
2024-11-17,20.54759328047623
2024-11-18,20.54759328047623
2024-11-19,20.54759328047623
2024-11-20,20.54759328047623
2024-11-21,20.54759328047623
2024-11-22,20.54759328047623
2024-11-23,20.54759328047623
2024-11-24,27.396791040634977
2024-11-25,27.396791040634977
2024-11-26,20.54759328047623
