Time,s and p 500
2025-06-25,48.0
2025-06-26,53.0
2025-06-27,67.0
2025-06-28,17.0
2025-06-29,12.0
2025-06-30,54.0
2025-07-01,58.0
2025-07-02,54.0
2025-07-03,62.0
2025-07-04,18.0
2025-07-05,12.0
2025-07-06,13.0
2025-07-07,57.0
2025-07-08,54.0
2025-07-09,52.0
2025-07-10,48.0
2025-07-11,53.0
2025-07-12,15.0
2025-07-13,10.0
2025-07-14,47.0
2025-07-15,51.0
2025-07-16,53.0
2025-07-17,51.0
2025-07-18,48.0
2025-07-19,13.0
2025-07-20,10.0
2025-07-21,50.0
2025-07-22,49.0
2025-07-23,53.0
2025-07-24,52.0
2025-07-25,46.0
2025-07-26,13.0
2025-07-27,13.0
2025-07-28,55.0
2025-07-29,46.0
2025-07-30,50.0
2025-07-31,55.0
2025-08-01,68.0
2025-08-02,16.0
2025-08-03,12.0
2025-08-04,64.0
2025-08-05,53.0
2025-08-06,52.0
2025-08-07,57.0
2025-08-08,54.0
2025-08-09,13.0
2025-08-10,11.0
2025-08-11,54.0
2025-08-12,54.0
2025-08-13,56.0
2025-08-14,53.0
2025-08-15,51.0
2025-08-16,15.0
2025-08-17,9.0
2025-08-18,47.0
2025-08-19,49.0
2025-08-20,50.0
2025-08-21,45.0
2025-08-22,57.0
2025-08-23,16.0
2025-08-24,11.0
2025-08-25,46.0
2025-08-26,51.0
2025-08-27,48.0
2025-08-28,47.0
2025-08-29,45.0
2025-08-30,11.0
2025-08-31,9.0
2025-09-01,10.0
2025-09-02,44.0
2025-09-03,47.0
2025-09-04,48.0
2025-09-05,50.0
2025-09-06,13.0
2025-09-07,10.0
2025-09-08,44.0
2025-09-09,47.0
2025-09-10,46.0
2025-09-11,50.0
2025-09-12,47.0
2025-09-13,12.0
2025-09-14,6.0
2025-09-15,45.0
2025-09-16,48.0
2025-09-17,57.0
2025-09-18,57.0
2025-09-19,51.0
2025-09-20,12.0
2025-09-21,10.0
2025-09-22,48.0
2025-09-23,47.0
2025-09-24,44.0
2025-09-25,47.0
2025-09-26,43.0
2025-09-27,12.0
2025-09-28,8.0
2025-09-29,43.0
2025-09-30,48.0
2025-10-01,55.0
2025-10-02,43.0
2025-10-03,49.0
2025-10-04,12.0
2025-10-05,8.0
2025-10-06,43.0
2025-10-07,48.0
2025-10-08,45.0
2025-10-09,42.0
2025-10-10,56.0
2025-10-11,24.0
2025-10-12,14.0
2025-10-13,63.0
2025-10-14,61.0
2025-10-15,52.0
2025-10-16,50.0
2025-10-17,52.0
2025-10-18,12.0
2025-10-19,10.0
2025-10-20,51.0
2025-10-21,50.0
2025-10-22,51.0
2025-10-23,49.0
2025-10-24,55.0
2025-10-25,13.0
2025-10-26,10.0
2025-10-27,58.0
2025-10-28,54.0
2025-10-29,58.0
2025-10-30,58.0
2025-10-31,48.0
2025-11-01,14.0
2025-11-02,11.0
2025-11-03,47.0
2025-11-04,47.0
2025-11-05,51.0
2025-11-06,50.0
2025-11-07,53.0
2025-11-08,16.0
2025-11-09,10.0
2025-11-10,48.0
2025-11-11,46.0
2025-11-12,47.0
2025-11-13,53.0
2025-11-14,57.0
2025-11-15,15.0
2025-11-16,10.0
2025-11-17,46.0
2025-11-18,55.0
2025-11-19,53.0
2025-11-20,68.0
2025-11-21,59.0
2025-11-22,14.0
2025-11-23,10.0
2025-11-24,46.0
2025-11-25,48.0
2025-11-26,49.0
2025-11-27,16.0
2025-11-28,33.0
2025-11-29,13.0
2025-11-30,9.0
2025-12-01,43.0
2025-12-02,44.0
2025-12-03,46.0
2025-12-04,44.0
2025-12-05,42.0
2025-12-06,12.0
2025-12-07,9.0
2025-12-08,41.0
2025-12-09,40.0
2025-12-10,47.0
2025-12-11,53.0
2025-12-12,49.0
2025-12-13,15.5
2025-12-14,9.0
2025-12-15,45.0
2025-12-16,47.5
2025-12-17,44.5
2025-12-18,49.0
2025-12-19,50.0
2025-12-20,12.0
2025-12-21,9.0
2025-12-22,50.0
2025-12-23,52.0
2025-12-24,48.0
2025-12-25,15.0
2025-12-26,44.0
2025-12-27,15.0
2025-12-28,8.0
2025-12-29,46.5
2025-12-30,45.5
2025-12-31,45.5
2026-01-01,16.0
2026-01-02,43.5
2026-01-03,17.0
2026-01-04,12.5
2026-01-05,50.0
2026-01-06,55.5
2026-01-07,51.0
2026-01-08,46.5
2026-01-09,49.5
2026-01-10,18.0
2026-01-11,12.0
2026-01-12,57.0
2026-01-13,55.0
2026-01-14,49.0
2026-01-15,54.0
2026-01-16,50.0
2026-01-17,16.0
2026-01-18,11.0
2026-01-19,26.0
2026-01-20,67.0
2026-01-21,79.0
2026-01-22,59.0
2026-01-23,54.0
2026-01-24,16.0
2026-01-25,12.0
2026-01-26,49.0
2026-01-27,55.0
2026-01-28,61.0
2026-01-29,60.0
2026-01-30,61.0
2026-01-31,19.0
2026-02-01,12.0
2026-02-02,59.0
2026-02-03,58.0
2026-02-04,58.0
2026-02-05,70.0
2026-02-06,78.0
2026-02-07,23.0
2026-02-08,10.0
2026-02-09,49.0
2026-02-10,56.0
2026-02-11,56.0
2026-02-12,55.0
2026-02-13,54.0
2026-02-14,17.0
2026-02-15,10.0
2026-02-16,25.0
2026-02-17,51.0
2026-02-18,50.0
2026-02-19,50.0
2026-02-20,60.0
2026-02-21,19.0
2026-02-22,10.0
2026-02-23,54.0
2026-02-24,58.0
2026-02-25,56.0
2026-02-26,57.0
2026-02-27,46.0
2026-02-28,16.0
2026-03-01,17.0
2026-03-02,80.0
2026-03-03,78.0
2026-03-04,66.0
2026-03-05,61.0
2026-03-06,66.0
2026-03-07,19.0
2026-03-08,13.0
2026-03-09,94.0
2026-03-10,74.0
2026-03-11,58.0
2026-03-12,64.0
2026-03-13,72.0
2026-03-14,20.0
2026-03-15,13.0
2026-03-16,62.0
2026-03-17,60.0
2026-03-18,65.0
2026-03-19,67.0
2026-03-20,65.0
2026-03-21,21.0
2026-03-22,16.0
2026-03-23,86.0
2026-03-24,70.0
2026-03-25,68.0
2026-03-26,65.0
2026-03-27,81.0
2026-03-28,25.0
2026-03-29,19.0
2026-03-30,80.0
2026-03-31,87.0
2026-04-01,83.0
2026-04-02,87.0
2026-04-03,45.0
2026-04-04,14.0
2026-04-05,15.0
2026-04-06,70.0
2026-04-07,74.0
2026-04-08,100.0
2026-04-09,81.0
2026-04-10,68.0
2026-04-11,15.0
2026-04-12,19.0
2026-04-13,77.0
2026-04-14,76.0
2026-04-15,77.0
2026-04-16,78.0
2026-04-17,87.0
2026-04-18,23.0
2026-04-19,19.0
2026-04-20,77.0
2026-04-21,68.0
2026-04-22,67.0
2026-04-23,66.0
2026-04-24,61.0
2026-04-25,16.0
2026-04-26,16.0
2026-04-27,65.0
2026-04-28,62.0
2026-04-29,57.0
2026-04-30,67.0
2026-05-01,62.0
2026-05-02,14.0
2026-05-03,12.0
2026-05-04,62.0
2026-05-05,66.0
2026-05-06,75.0
2026-05-07,67.0
2026-05-08,70.0
2026-05-09,20.0
2026-05-10,15.0
2026-05-11,75.0
2026-05-12,69.0
2026-05-13,64.0
2026-05-14,67.0
2026-05-15,65.0
2026-05-16,17.0
2026-05-17,16.0
2026-05-18,67.0
2026-05-19,62.0
2026-05-20,58.0
2026-05-21,62.0
2026-05-22,62.0
2026-05-23,17.0
2026-05-24,13.0
2026-05-25,20.0
2026-05-26,67.0
2026-05-27,66.0
2026-05-28,66.0
2026-05-29,67.0
2026-05-30,14.0
2026-05-31,16.0
